"question number","question","question_type","possible_answers","lineair scale label 1","lineair scale label 7"
"1","Welke letter staat groot op je papier?","multiple choice","A|B|C","",""
"2","Vooral in kustprovincies zijn zonnevelden","lineair scale","[1-7]","Helemaal NIET te concluderen","Helemaal WEL te concluderen"
"3","Windturbines zijn overal in het land","lineair scale","[1-7]","Helemaal NIET te concluderen","Helemaal WEL te concluderen"
"4","Zonnevelden zijn anders verspreid dan windturbines","lineair scale","[1-7]","Helemaal NIET te concluderen","Helemaal WEL te concluderen"
"5","In de meeste gemeenten zijn geen zonnevelden","lineair scale","[1-7]","Helemaal NIET te concluderen","Helemaal WEL te concluderen"
"6","In een klein deel van provincies wordt het grootste deel van de windstroom opgewekt","lineair scale","[1-7]","Helemaal NIET te concluderen","Helemaal WEL te concluderen"
"7","Ik vind deze figuur aantrekkelijk","lineair scale","[1-7]","Helemaal NIET aantrekkelijk","Helemaal WEL aantrekkelijk"
"8","Ik vind dat deze figuur de feiten objectief weergeeft","lineair scale","[1-7]","Helemaal NIET objectief","Helemaal WEL objectief"
"9","Ik vind het duidelijk wat de maker van de figuur mij wil vertellen","lineair scale","[1-7]","Heel onduidelijk","Heel duidelijk"
"10","Ik vind het makkelijk om de informatie in de figuur te begrijpen","lineair scale","[1-7]","Heel makkelijk","Heel moeilijk"
"11","Een figuur als deze...","lineair scale","[1-7]","Staat heel DICHT bij mij","Staat heel VER van mij af"
"12","Welke figuur vind je het duidelijkst?","multiple choice","A|B|C","",""
"13","Welke figuur vind je het aantrekkelijkst?","multiple choice","A|B|C","",""
"14","Welke figuur vind je de meest objectieve weergave?","multiple choice","A|B|C","",""
