"timestamp","question 1","question 2","question 3","question 4","question 5","question 6","question 7","question 8","question 9","question 10","question 11","question 12","question 13","question 14"
"2022/09/02 2:22:33 PM GMT+2","B","2","1","2","7","6","4","7","3","4","3","C","A","B"
"2022/09/02 2:23:54 PM GMT+2","A","4","2","4","6","5","5","7","6","5","5","A","B","A"
"2022/09/02 2:24:11 PM GMT+2","A","2","4","7","4","6","5","7","5","4","4","A","A","C"
"2022/09/02 2:24:20 PM GMT+2","C","2","3","6","7","3","2","7","3","5","6","A","A","A"
"2022/09/02 2:24:31 PM GMT+2","B","5","7","5","3","5","5","6","7","1","3","A","A","C"
"2022/09/02 2:24:38 PM GMT+2","C","6","7","7","4","7","2","6","7","5","2","A","A","B"
"2022/09/02 2:24:39 PM GMT+2","A","3","1","2","6","7","6","5","7","7","1","B","B","B"
"2022/09/02 2:24:48 PM GMT+2","A","2","1","5","2","4","6","5","5","6","4","C","A","C"
"2022/09/02 2:24:52 PM GMT+2","C","6","7","7","1","7","1","5","2","6","7","A","A","C"
"2022/09/02 2:24:53 PM GMT+2","B","1","1","7","1","7","7","4","2","6","1","A","B","C"
"2022/09/02 2:25:04 PM GMT+2","C","5","7","7","6","5","2","2","3","6","7","A","A","B"
"2022/09/02 2:25:07 PM GMT+2","B","3","1","4","7","6","3","6","6","5","3","A","A","B"
"2022/09/02 2:25:12 PM GMT+2","A","5","1","4","4","5","4","3","5","5","5","B","A","B"
"2022/09/02 2:25:14 PM GMT+2","A","2","2","3","7","5","2","4","2","6","7","B","B","A"
"2022/09/02 2:25:22 PM GMT+2","B","2","3","6","5","6","4","5","5","5","2","A","C","A"
"2022/09/02 2:25:22 PM GMT+2","C","5","5","2","7","3","3","6","4","6","6","C","B","B"
"2022/09/02 2:25:22 PM GMT+2","C","1","2","5","7","6","4","6","3","6","3","A","A","B"
"2022/09/02 2:25:28 PM GMT+2","C","1","4","7","6","7","2","4","5","5","3","A","A","A"
"2022/09/02 2:25:39 PM GMT+2","B","3","1","2","7","6","5","7","7","1","1","B","B","B"
"2022/09/02 2:25:51 PM GMT+2","A","5","2","6","7","3","6","2","7","1","5","B","B","B"
"2022/09/02 2:25:52 PM GMT+2","B","2","5","6","2","2","1","2","4","3","6","A","A","C"
"2022/09/02 2:25:55 PM GMT+2","C","3","2","7","7","6","6","7","7","2","1","A","A","C"
"2022/09/02 2:25:56 PM GMT+2","C","4","1","6","5","7","2","5","1","7","5","A","A","A"
"2022/09/02 2:25:58 PM GMT+2","A","2","2","4","6","6","5","5","5","3","2","B","B","C"
"2022/09/02 2:26:00 PM GMT+2","B","1","1","5","3","7","2","3","2","4","4","C","A","C"
"2022/09/02 2:26:03 PM GMT+2","B","7","7","7","5","1","7","4","3","1","1","A","B","A"
"2022/09/02 2:26:10 PM GMT+2","B","2","6","7","5","2","4","5","6","2","4","A","B","A"
"2022/09/02 2:26:35 PM GMT+2","A","6","6","7","6","4","5","5","5","6","2","B","B","A"
"2022/09/02 2:26:40 PM GMT+2","C","2","1","6","2","6","1","4","1","7","5","A","A","A"
"2022/09/02 2:27:06 PM GMT+2","C","1","3","3","6","3","3","5","3","4","4","B","B","B"
"2022/09/02 2:27:10 PM GMT+2","A","3","5","5","6","6","5","3","7","2","4","B","B","B"
"2022/09/02 2:27:17 PM GMT+2","B","1","2","5","5","6","6","6","5","6","5","A","B","C"
"2022/09/02 2:27:18 PM GMT+2","C","3","3","5","6","5","2","4","4","3","6","A","A","C"
"2022/09/02 2:27:19 PM GMT+2","C","4","7","7","7","7","2","5","3","5","5","A","A","A"
"2022/09/02 2:27:20 PM GMT+2","C","3","7","5","5","5","1","5","5","5","7","A","A","A"
"2022/09/02 2:27:25 PM GMT+2","C","3","7","7","7","1","2","4","5","3","6","A","A","C"
"2022/09/02 2:27:26 PM GMT+2","B","2","3","5","3","3","2","6","4","3","5","C","C","C"
"2022/09/02 2:27:29 PM GMT+2","C","6","1","7","1","1","1","1","1","7","7","A","B","A"
"2022/09/02 2:27:31 PM GMT+2","A","4","2","7","7","5","4","7","7","1","1","A","A","A"
"2022/09/02 2:27:31 PM GMT+2","A","1","5","5","2","4","5","6","7","1","3","A","A","A"
"2022/09/02 2:27:34 PM GMT+2","C","1","6","7","2","7","4","4","7","7","6","B","B","B"
"2022/09/02 2:27:35 PM GMT+2","C","1","1","7","7","1","3","2","4","6","5","B","B","B"
"2022/09/02 2:27:36 PM GMT+2","C","3","2","6","2","6","3","2","2","6","6","B","A","B"
"2022/09/02 2:27:40 PM GMT+2","C","4","2","6","6","7","3","3","5","4","4","B","B","B"
"2022/09/02 2:27:40 PM GMT+2","A","7","7","1","7","1","7","1","1","7","7","C","A","C"
"2022/09/02 2:27:41 PM GMT+2","C","2","1","1","2","6","1","1","1","6","6","A","A","B"
"2022/09/02 2:27:44 PM GMT+2","C","1","2","7","6","6","1","2","6","7","7","A","B","A"
"2022/09/02 2:27:45 PM GMT+2","C","4","3","6","6","6","1","6","3","2","6","A","B","A"
"2022/09/02 2:27:48 PM GMT+2","C","2","7","7","4","6","2","4","2","7","7","A","A","A"
"2022/09/02 2:27:49 PM GMT+2","C","6","7","7","1","6","3","6","2","3","7","C","A","C"
"2022/09/02 2:27:49 PM GMT+2","B","1","2","5","1","3","1","2","5","6","4","A","A","A"
"2022/09/02 2:27:50 PM GMT+2","A","5","2","2","6","1","4","6","6","6","6","B","B","B"
"2022/09/02 2:27:55 PM GMT+2","B","7","7","7","7","7","2","1","5","1","3","A","A","A"
